index,Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1300,05-Apr-21,82500.05,83317.0,81278.3,81536.45,81870.3427,1103,800,90302988,367,33.27,2038.7,-963.6
1301,06-Apr-21,82700.0,82700.0,81238.65,82230.65,81982.23248,942,806,77227263,243,25.8,1461.35,-469.35
1302,07-Apr-21,82000.0,84075.85,81550.0,83701.0,83230.65408,662,524,55098693,118,17.82,2525.85,1701.0
1303,08-Apr-21,84199.9,84499.95,82500.0,83107.75,83908.50216,2087,693,175117044,207,9.92,1999.95,-1092.15
1304,09-Apr-21,82547.05,83621.15,81500.0,81884.1,82258.29072,1056,671,86864755,444,42.05,2121.15,-662.95
1305,12-Apr-21,81500.0,81500.0,78990.0,79354.6,79716.82915,995,819,79318245,247,24.82,2510.0,-2145.4
1306,13-Apr-21,79300.0,83000.0,79000.0,82698.3,81281.51143,1312,1099,106641343,459,34.98,4000.0,3398.3
1307,15-Apr-21,81800.0,82435.95,79400.0,81080.5,81169.66958,1029,767,83523590,191,18.56,3035.95,-719.5
1308,16-Apr-21,81223.7,81950.0,80985.05,81326.5,81552.11964,886,595,72255178,187,21.11,964.95,102.8
1309,19-Apr-21,80100.0,80199.85,78776.0,79291.15,79455.45377,941,716,74767582,144,15.3,1423.85,-808.85
1310,20-Apr-21,80500.0,80618.25,78657.45,79362.85,79785.89568,1342,1015,107072672,245,18.26,1960.8,-1137.15
1311,22-Apr-21,79050.0,79200.85,77656.6,78332.15,78385.08623,893,706,69997882,146,16.35,1544.25,-717.85
1312,23-Apr-21,78390.0,78841.25,77900.0,78254.55,78453.50921,760,651,59624667,165,21.71,941.25,-135.45
1313,26-Apr-21,78599.75,79200.0,77530.0,77868.4,78322.3841,742,616,58115209,179,24.12,1670.0,-731.35
1314,27-Apr-21,78038.3,78400.0,77668.2,78036.6,78037.00661,605,477,47212389,124,20.5,731.8,-1.7
1315,28-Apr-21,78040.1,79250.0,77870.85,78093.3,78571.35322,1056,798,82971349,221,20.93,1379.15,53.2
1316,29-Apr-21,79000.0,79000.0,77502.85,77712.6,78214.03693,1029,826,80482244,268,26.04,1497.15,-1287.4
1317,30-Apr-21,77800.0,81700.0,77151.8,80721.45,80056.01845,3198,2596,256019147,1193,37.3,4548.2,2921.45
1318,03-May-21,80101.1,81105.95,79200.0,79871.7,80194.80514,934,781,74901948,183,19.59,1905.95,-229.4
1319,04-May-21,80720.9,80808.9,78391.1,78648.1,79377.03111,1093,863,86759095,196,17.93,2417.8,-2072.8
1320,05-May-21,79150.0,79337.05,77500.3,78241.6,78275.75108,924,755,72326794,178,19.26,1836.75,-908.4
1321,06-May-21,78000.1,79109.75,77747.15,77920.95,78343.31769,831,596,65103297,119,14.32,1362.6,-79.15
1322,07-May-21,78499.7,78700.0,77245.0,77465.05,77774.14668,1084,854,84307175,323,29.8,1455.0,-1034.65
1323,10-May-21,77650.0,78710.0,77550.0,78400.25,78217.97151,1369,995,107080403,556,40.61,1160.0,750.25
1324,11-May-21,78300.0,79533.65,77526.0,78629.4,78543.95334,1243,796,97630134,544,43.76,2007.65,329.4
1325,12-May-21,78105.0,79159.0,77022.05,77333.8,77659.3196,1505,1244,116877276,674,44.78,2136.95,-771.2
1326,14-May-21,77724.95,77777.0,76000.0,76161.8,76470.11309,1857,1432,142005000,398,21.43,1777.0,-1563.15
1327,17-May-21,76827.75,78386.8,76001.05,78198.95,77523.5236,1610,1331,124812873,598,37.14,2385.75,1371.2
1328,18-May-21,79100.0,79956.3,78466.2,79241.15,79243.26203,977,763,77420667,126,12.9,1490.1,141.15
1329,19-May-21,79306.0,79966.7,78350.2,79645.65,79107.85151,761,634,60201075,100,13.14,1616.5,339.65
1330,20-May-21,79850.45,82443.55,79286.15,81434.25,80966.9986,1433,1133,116025709,301,21.0,3157.4,1583.8
1331,21-May-21,81100.0,82400.0,81100.0,82192.7,81941.45539,1827,1359,149707039,397,21.73,1300.0,1092.7
1332,24-May-21,82047.05,83252.0,82000.9,82582.5,82604.10271,1217,826,100529193,342,28.1,1251.1,535.45
1333,25-May-21,82949.95,83060.3,81825.6,82179.35,82321.76752,942,615,77547105,272,28.87,1234.7,-770.6
1334,26-May-21,82774.95,82782.4,81412.6,81630.85,82079.90123,648,405,53187776,73,11.27,1369.8,-1144.1
1335,27-May-21,81693.0,83188.65,81332.0,82831.4,82421.87005,1085,886,89427729,437,40.28,1856.65,1138.4
1336,28-May-21,82714.05,83600.0,82714.05,83349.0,83238.87902,653,553,54354988,286,43.8,885.95,634.95
1337,31-May-21,83174.65,83939.45,83000.2,83632.45,83570.03493,458,397,38275076,83,18.12,939.25,457.8
1338,01-Jun-21,83927.85,84681.0,82780.45,83207.1,83770.81032,717,602,60063671,129,17.99,1900.55,-720.75
1339,02-Jun-21,83649.95,84720.05,83000.0,84391.6,83844.68983,806,712,67578820,387,48.01,1720.05,741.65
1340,03-Jun-21,84750.5,85099.5,83869.7,84459.3,84594.54733,486,407,41112950,95,19.55,1229.8,-291.2
1341,04-Jun-21,85255.85,85321.3,84293.6,84929.5,84809.4323,421,360,35704771,101,23.99,1027.7,-326.35
1342,07-Jun-21,85070.05,87243.05,82000.0,82391.75,84086.40129,4660,3613,391842630,1019,21.87,5243.05,-2678.3
1343,08-Jun-21,83099.95,83099.95,81200.0,81351.5,81679.0469,1066,915,87069864,314,29.46,1899.95,-1748.45
1344,09-Jun-21,81416.2,81896.55,80001.0,80213.85,80912.22118,1284,1104,103891292,418,32.55,1895.55,-1202.35
1345,10-Jun-21,81290.0,82318.0,80023.65,82191.5,81237.63832,882,745,71651597,158,17.91,2294.35,901.5
