Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-Jan-16,40000,41399.95,39868,40546.75,40771.2828,1616,1061,65886393,151,9.34,1531.95,546.75
04-Jan-16,40500,40729.05,40282.45,40494.6,40479.49349,614,424,24854409,114,18.57,446.6,-5.4
05-Jan-16,40621.45,40740,40325.75,40581.45,40512.33602,497,315,20134631,86,17.3,414.25,-40
06-Jan-16,40573.25,41178.2,40318,40446.15,40689.59016,915,648,37230975,87,9.51,860.2,-127.1
07-Jan-16,40050,40168.45,39000.05,39052.25,39266.72034,1888,597,74135568,967,51.22,1168.4,-997.75
08-Jan-16,39593.2,39593.2,38501.5,38661.2,38953.24015,1041,629,40550323,216,20.75,1091.7,-932
11-Jan-16,38450,39150,38209.35,39033.05,38677.39076,714,471,27615657,184,25.77,940.65,583.05
12-Jan-16,38850.5,39234.65,38707.05,38926.3,39020.87844,617,441,24075882,35,5.67,527.6,75.8
13-Jan-16,38800.05,39167.55,37920.05,38445.1,38501.48173,1177,775,45316244,154,13.08,1247.5,-354.95
14-Jan-16,38035,38647.65,37933.1,38255.8,38246.99435,531,317,20309154,50,9.42,714.55,220.8
15-Jan-16,38320,38469.05,37299.05,37624.75,37994.46561,887,560,33701091,210,23.68,1170,-695.25
18-Jan-16,37625,37625,35901.1,36248.2,36632.49456,1102,626,40369009,284,25.77,1723.9,-1376.8
19-Jan-16,36300,36718,35550,36321.95,36156.15152,858,636,31021978,97,11.31,1168,21.95
20-Jan-16,36320,36320,34650,34977.35,35143.13254,1841,1198,64698507,227,12.33,1670,-1342.65
21-Jan-16,35420,35675,34563.2,34940.45,35035.16251,923,636,32337455,124,13.43,1111.8,-479.55
22-Jan-16,35300,36400,35154.1,36259.05,35823.67486,1058,674,37901448,208,19.66,1245.9,959.05
25-Jan-16,36839.5,38149.8,35532.45,36010.65,36554.81512,6496,4573,237460079,567,8.73,2617.35,-828.85
27-Jan-16,36289.9,36291.1,35670,35792.25,35880.38081,1355,816,48617916,237,17.49,621.1,-497.65
28-Jan-16,35792.25,35946.1,35360.05,35712.4,35732.72699,967,660,34553547,224,23.16,586.05,-79.85
29-Jan-16,35667.5,35950,35263.55,35607.1,35606.51989,1835,977,65337964,507,27.63,686.45,-60.4
01-Feb-16,35672.1,35865,34050,34313.25,34789.37422,1916,1250,66656441,558,29.12,1815,-1358.85
02-Feb-16,34166,35100,34100,34626.3,34735.64792,2187,1393,75966862,744,34.02,1000,460.3
03-Feb-16,34451,34466,34020,34193.7,34207.64286,1190,484,40707095,493,41.43,446,-257.3
04-Feb-16,34461.2,34759.7,33450.05,33734.95,33872.87021,1695,1089,57414515,391,23.07,1309.65,-726.25
05-Feb-16,33924.95,34370.2,33450.05,34189.7,33900.72124,1295,772,43901434,314,24.25,920.15,264.75
08-Feb-16,34100.05,34780,33801,34185.35,34302.86871,1173,758,40237265,236,20.12,979,85.3
09-Feb-16,33968.2,33968.2,33600,33652.9,33782.98097,683,426,23073776,186,27.23,368.2,-315.3
10-Feb-16,34009.85,34497.85,33230,33811.1,33842.72495,2345,1341,79361190,513,21.88,1267.85,-198.75
11-Feb-16,33601,34136.75,31900,32239.95,33227.78523,3874,1376,128724440,1836,47.39,2236.75,-1361.05
12-Feb-16,32540,32980.9,31190,31762.3,31850.51464,2664,1379,84849771,615,23.09,1790.9,-777.7
15-Feb-16,32250.55,33479.9,32250.5,33265.4,32984.42595,1472,797,48553075,188,12.77,1229.4,1014.85
16-Feb-16,33566.75,33701,33000.1,33199.15,33332.58009,1386,757,46198956,176,12.7,700.9,-367.6
17-Feb-16,33487.8,33489.75,32600,33242,32971.13156,1581,998,52127359,163,10.31,889.75,-245.8
